species,study.id,dataset.id,wild.lab,order,family,genus,trophic.group,latitude,longitude,study.location,diet,diet2,diet.details,temperature.c,temperature.variation,passage.time.h,ln.passage.time,passage.time.sd,passage.time.n,age.class,bodylength.metric,bodylength.avg.mm,ln.bodylength,bodylength.min.mm,bodylength.max.mm,bodylength.sd.mm,bodylength.n,mass.avg.g,mass.sd.g,mass.se.g,mass.min.g,mass.max.g,mass.n,reference,notes
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,52.1235,3.953615903,,1,adult,total,403.614,6.000458976,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Aplodactylus_punctatus,4,4A,lab,Perciformes,Aplodactylidae,Aplodactylus,herbivore,-33.25,-71.6,Las Cruces,macroalgae,macroalgae (fermenter),Lessonia trabeculata,14.9,1.5,52.3373,3.95770931,,1,adult,total,390.361,5.967071952,,,,,,,,,,,"Benavides, A. G., Cancino, J. M., & Ojeda, F. P. (1994). Ontogenetic Changes in Gut Dimensions and Macroalgal Digestibility in the Marine Herbivorous Fish, Aplodactylus punctatus. Functional Ecology, 8(1), 46–51. ",
Clupea_harengus,22,22A,lab,Clupeiformes,Clupeidae,Clupea,carnivore,57.1,-2,"Aberdeen, Scotland",carnivore,carnivore,Squid,7.4005,,23,3.135494216,,,juvenile,,190,5.247024072,160,220,,,,,,,,,"Blaxter, J.H., Holliday, F.G.T (1958).  Herring (Clupea harengus L.) in aquaria: II. Feeding.  Scottish Home Department Marine Research 6.",Average size is midpoint size.
Clupea_harengus,22,22B,lab,Clupeiformes,Clupeidae,Clupea,carnivore,57.1,-2,"Aberdeen, Scotland",carnivore,carnivore,Squid,8.1968,,21,3.044522438,,,juvenile,,190,5.247024072,160,220,,,,,,,,,"Blaxter, J.H., Holliday, F.G.T (1958).  Herring (Clupea harengus L.) in aquaria: II. Feeding.  Scottish Home Department Marine Research 6.",Average size is midpoint size.
Clupea_harengus,22,22B,lab,Clupeiformes,Clupeidae,Clupea,carnivore,57.1,-2,"Aberdeen, Scotland",carnivore,carnivore,Squid,9.6914,,18,2.890371758,,,juvenile,,190,5.247024072,160,220,,,,,,,,,"Blaxter, J.H., Holliday, F.G.T (1958).  Herring (Clupea harengus L.) in aquaria: II. Feeding.  Scottish Home Department Marine Research 6.",Average size is midpoint size.
Clupea_harengus,22,22B,lab,Clupeiformes,Clupeidae,Clupea,carnivore,57.1,-2,"Aberdeen, Scotland",carnivore,carnivore,Squid,12.583,,15,2.708050201,,,juvenile,,190,5.247024072,160,220,,,,,,,,,"Blaxter, J.H., Holliday, F.G.T (1958).  Herring (Clupea harengus L.) in aquaria: II. Feeding.  Scottish Home Department Marine Research 6.",Average size is midpoint size.
Siganus_spinus,11,11A,lab,Perciformes,Siganidae,Siganus,herbivore,13.4,144.8,Guam,macroalgae,macroalgae,Enteromorpha compressa and Cladophoropsis membranacea,28.5,0.7,2.5,0.916290732,1,7,adult,standard,155,5.043425117,140,170,,,,,,,,,"Bryan, P. (1975). Food-Habits, Functional Digestive Morphology, and Assimilation Efficiency of Rabbitfish Siganus-Spinus (pisces, Siganidae) on Guam. Pacific Science, 29(3), 269–277.",Didn't provide average length so used the midpoint length for the fish described in the feeding trials.
Tautogolabrus_adspersus,19,19A,lab,Perciformes,Labridae,Tautogolabrus,carnivore,42.42,-70.9,East Point Nahant Mass,carnivore,carnivore,Mussels,13.5,2.5,12,2.48490665,2,,adult,standard,175,5.164785974,150,200,,,,,,,,,"Chao, L.N. (1973).  Digestive system and feeding habits of the cunner, Tautogolabrus adspersus, a stomachless fish.  Fishery Bulletin, 71(2), 565-586.",
Stegastes_planifrons,5,5A,lab,Perciformes,Pomacentridae,Stegastes,herbivore,9.5,-78.7,San Blas Archipelago Panama,diatoms,diatoms,"Asterionella, Biddulphia, Nitzschia (string)",27.7,,6.63,1.891604804,1.046518036,8,adult,standard,64.9,4.172847624,50,70,6.8,128,13.81,2.8,0.25,7,15,128,"Cleveland, A., & Montgomery, W. (2003). Gut characteristics and assimilation efficiencies in two species of herbivorous damselfishes (Pomacentridae: Stegastes dorsopunicans and S. planifrons). Marine Biology, 142(1), 35–44. ",Used average weights and lengths reported for all fish within each species.  Temperature not reported so used NOAA estimate.
Stegastes_dorsopunicans,5,5B,lab,Perciformes,Pomacentridae,Stegastes,herbivore,9.5,-78.7,San Blas Archipelago Panama,diatoms,diatoms,"Asterionella, Biddulphia, Nitzschia (string)",27.7,,6.75,1.909542505,0.269443872,6,adult,standard,58.9,4.075841091,40,60,6.7,124,8.94,4.9,0.44,7,15,124,"Cleveland, A., & Montgomery, W. (2003). Gut characteristics and assimilation efficiencies in two species of herbivorous damselfishes (Pomacentridae: Stegastes dorsopunicans and S. planifrons). Marine Biology, 142(1), 35–44. ",Used average weights and lengths reported for all fish within each species.  Temperature not reported so used NOAA estimate.
